scheme_code,scheme_name,amc,category_latest,category_first,plan,option,isin_growth_or_payout,isin_reinvest,first_nav_date,last_nav_date,nav_count,status
118934,HDFC Value Fund - IDCW Option - Direct Plan,HDFC Mutual Fund,Open Ended Schemes ( Equity Scheme - Value Fund ),Open Ended Schemes ( Equity Scheme - Value Fund ),Direct Plan,IDCW Option,INF179K01VA8,INF179K01VB6,2022-01-03,2022-12-30,247,active
118935,HDFC Value Fund - Growth Option - Direct Plan,HDFC Mutual Fund,Open Ended Schemes ( Equity Scheme - Value Fund ),Open Ended Schemes ( Equity Scheme - Value Fund ),Direct Plan,Growth Option,INF179K01VC4,,2022-01-03,2022-12-30,247,active
118942,HDFC Ultra Short to Short Term Fund - Direct Plan - Growth,HDFC Mutual Fund,Open Ended Schemes ( Income/Debt Oriented Schemes - Ultra Short to Short Term Fund ),Open Ended Schemes ( Income/Debt Oriented Schemes - Ultra Short to Short Term Fund ),Direct Plan,Growth Option,INF179K01VF7,,2022-01-03,2022-12-30,243,active
118943,HDFC Ultra Short to Short Term Fund - Direct Plan - Monthly IDCW,HDFC Mutual Fund,Open Ended Schemes ( Income/Debt Oriented Schemes - Ultra Short to Short Term Fund ),Open Ended Schemes ( Income/Debt Oriented Schemes - Ultra Short to Short Term Fund ),Direct Plan,Monthly IDCW,INF179K01VG5,INF179K01VH3,2022-01-03,2022-12-30,243,active
118944,HDFC Ultra Short to Short Term Fund - Direct Plan - Weekly IDCW,HDFC Mutual Fund,Open Ended Schemes ( Income/Debt Oriented Schemes - Ultra Short to Short Term Fund ),Open Ended Schemes ( Income/Debt Oriented Schemes - Ultra Short to Short Term Fund ),Direct Plan,Weekly IDCW,INF179KC1IS0,INF179KC1IT8,2022-01-03,2022-12-30,243,active
118945,HDFC Ultra Short to Short Term Fund - Direct Plan - Daily IDCW,HDFC Mutual Fund,Open Ended Schemes ( Income/Debt Oriented Schemes - Ultra Short to Short Term Fund ),Open Ended Schemes ( Income/Debt Oriented Schemes - Ultra Short to Short Term Fund ),Direct Plan,Daily IDCW,,INF179KC1IR2,2022-01-03,2022-12-30,243,active
118949,HDFC Focused Fund - IDCW Option - Direct Plan,HDFC Mutual Fund,Open Ended Schemes ( Equity Scheme - Focused Fund ),Open Ended Schemes ( Equity Scheme - Focused Fund ),Direct Plan,IDCW Option,INF179K01VI1,INF179K01VJ9,2022-01-03,2022-12-30,247,active
118950,HDFC Focused Fund - Growth Option - Direct Plan,HDFC Mutual Fund,Open Ended Schemes ( Equity Scheme - Focused Fund ),Open Ended Schemes ( Equity Scheme - Focused Fund ),Direct Plan,Growth Option,INF179K01VK7,,2022-01-03,2022-12-30,247,active
118954,HDFC Flexi Cap Fund - IDCW Option - Direct Plan,HDFC Mutual Fund,Open Ended Schemes ( Equity Scheme - Flexi Cap Fund ),Open Ended Schemes ( Equity Scheme - Flexi Cap Fund ),Direct Plan,IDCW Option,INF179K01VL5,INF179K01VM3,2022-01-03,2022-12-30,247,active
118955,HDFC Flexi Cap Fund - Growth Option - Direct Plan,HDFC Mutual Fund,Open Ended Schemes ( Equity Scheme - Flexi Cap Fund ),Open Ended Schemes ( Equity Scheme - Flexi Cap Fund ),Direct Plan,Growth Option,INF179K01UT0,,2022-01-03,2022-12-30,247,active
